,"time, s","x_all, m^2","y_all, m^2","z_all, m^2","r_all, m^2","x_2, m^2","y_2, m^2","z_2, m^2","r_2, m^2","x_5, m^2","y_5, m^2","z_5, m^2","r_5, m^2"
200,1.5e-08,4.109462819820981e-20,3.791185746841108e-20,3.870946848774814e-20,1.1771595415436903e-19,5.3686343097613626e-20,5.0146797810031016e-20,5.1044357111849064e-20,1.548774980194937e-19,1.5935791592565073e-20,1.346587315302594e-20,1.4063782818890255e-20,4.346544756448127e-20
201,1.5075e-08,4.154019746258654e-20,3.803108164583545e-20,3.9231639796695536e-20,1.188029189051175e-19,5.434983231770574e-20,5.029509895775723e-20,5.157447648938109e-20,1.5621940776484407e-19,1.594594657042454e-20,1.3527000180804225e-20,1.4570073514239822e-20,4.4043020265468584e-20
202,1.515e-08,4.223890533255282e-20,3.8763453726602896e-20,3.9391945169018903e-20,1.2039430422817462e-19,5.543226755531975e-20,5.1116813649028704e-20,5.2009271242418575e-20,1.5855835244676704e-19,1.5877949172610294e-20,1.4080861537849783e-20,1.418193623720666e-20,4.414074694766674e-20
203,1.5225e-08,4.246575684287401e-20,3.841648627599481e-20,3.986869789347908e-20,1.2075094101234792e-19,5.560269203236764e-20,5.0958863597949866e-20,5.2632371486914427e-20,1.5919392711723195e-19,1.6217544540428714e-20,1.3356228462791657e-20,1.436627975659555e-20,4.394005275981592e-20
204,1.53e-08,4.2484884054463325e-20,3.886665773138837e-20,4.023745647234385e-20,1.2158899825819555e-19,5.567799508732038e-20,5.111473002739406e-20,5.30353964037493e-20,1.5982812151846375e-19,1.612442978373527e-20,1.439443515558013e-20,1.4666572585961467e-20,4.5185437525276865e-20
205,1.5375e-08,4.2429886994338746e-20,3.862884017935304e-20,4.0401433991055057e-20,1.2146016116474684e-19,5.580446089015201e-20,5.08795371997742e-20,5.303952814947472e-20,1.5972352623940094e-19,1.5706861417352492e-20,1.4151373281128728e-20,1.5149929451868898e-20,4.500816415035012e-20
206,1.545e-08,4.313414648760421e-20,3.897011398393522e-20,4.0749529473765216e-20,1.2285378994530464e-19,5.656942911239494e-20,5.108451595554012e-20,5.35585317002567e-20,1.6121247676819174e-19,1.628982202439927e-20,1.4764970982076197e-20,1.5156542603255888e-20,4.621133560973136e-20
207,1.5525e-08,4.35261852586953e-20,3.883733134873921e-20,4.1241188280542966e-20,1.236047048879775e-19,5.703302970576426e-20,5.131358157884555e-20,5.4084214279954266e-20,1.6243082556456408e-19,1.6538876920118094e-20,1.3909198564757205e-20,1.558022031687548e-20,4.6028295801750775e-20
208,1.56e-08,4.298531878978523e-20,3.9501036939414477e-20,4.131169798695196e-20,1.2379805371615166e-19,5.63583076063106e-20,5.204737544345395e-20,5.437439340492133e-20,1.6278007645468587e-19,1.6265460275516754e-20,1.4432864498726213e-20,1.5211820228001434e-20,4.5910145002244403e-20
209,1.5675e-08,4.329868006623631e-20,3.95009084906202e-20,4.1604699097775824e-20,1.2440428765463233e-19,5.65779560283991e-20,5.205898982560178e-20,5.484632130545987e-20,1.6348326715946075e-19,1.6766064227774344e-20,1.4409273323264424e-20,1.5147317225782117e-20,4.632265477682088e-20
210,1.575e-08,4.3244490121496053e-20,3.9345170805157325e-20,4.176019827406421e-20,1.2434985920071758e-19,5.700440397276616e-20,5.183047622827965e-20,5.518171476959459e-20,1.6401659497064043e-19,1.575153725069661e-20,1.4398945321067192e-20,1.4943379182408827e-20,4.509386175417264e-20
