,"time, s","msd_all, m^2","msd_x_all, m^2","msd_y_all, m^2","msd_z_all, m^2","msd_Cr, m^2","msd_x_Cr, m^2","msd_y_Cr, m^2","msd_z_Cr, m^2","msd_Ta, m^2","msd_x_Ta, m^2","msd_y_Ta, m^2","msd_z_Ta, m^2"
354,2.655e-08,2.176847793399016e-19,7.57778281430528e-20,6.667010853237486e-20,7.523684266447396e-20,2.8118296254475476e-19,9.81412984343275e-20,8.635487875312064e-20,9.668678535730653e-20,9.081243281926747e-20,3.109456621341598e-20,2.73390149077207e-20,3.2378851698130807e-20
355,2.6625e-08,2.18284026206458e-19,7.599389973954059e-20,6.685586826883051e-20,7.543425819808682e-20,2.8196085750808757e-19,9.842160565242099e-20,8.658929269688599e-20,9.694995915878058e-20,9.105473241433471e-20,3.118229202689092e-20,2.742756125730567e-20,3.244487913013813e-20
356,2.67e-08,2.188965011053451e-19,7.621601351099972e-20,6.704788823190708e-20,7.563259936243821e-20,2.8275893880170564e-19,9.870919558681371e-20,8.683160803205123e-20,9.721813518284081e-20,9.129635703624931e-20,3.127358135561365e-20,2.7519088709353515e-20,3.250368697128211e-20
357,2.6775e-08,2.1950277076632544e-19,7.64443190981819e-20,6.724150953194346e-20,7.581694213620011e-20,2.835528388110735e-19,9.900697367621325e-20,8.707663444389111e-20,9.746923069096919e-20,9.152773246597921e-20,3.1363077626841964e-20,2.761000018639178e-20,3.2554654652745516e-20
358,2.685e-08,2.2010335453087607e-19,7.666458672610246e-20,6.743427716309603e-20,7.600449064167759e-20,2.843496428766042e-19,9.92944295153848e-20,8.732984402757636e-20,9.772536933364306e-20,9.17362588713452e-20,3.144910005923555e-20,2.768200196316767e-20,3.2605156848941966e-20
359,2.6925e-08,2.207062354369283e-19,7.68872805309941e-20,6.76324124447074e-20,7.618654246122678e-20,2.851492878198286e-19,9.958139149595457e-20,8.759019608449229e-20,9.797770023938169e-20,9.194599600781311e-20,3.1543383036551614e-20,2.7755825211309026e-20,3.264678775995245e-20
360,2.7e-08,2.213203837266626e-19,7.711354636116572e-20,6.782884845939978e-20,7.637798890609711e-20,2.859567556960675e-19,9.98722625318712e-20,8.784693384991005e-20,9.823755931428619e-20,9.217388270185569e-20,3.1640564637275743e-20,2.7831775501407544e-20,3.270154256317239e-20
361,2.7075e-08,2.219277887813653e-19,7.733715076037676e-20,6.801904605154499e-20,7.657159196944354e-20,2.867704847558137e-19,1.0016418254262948e-19,8.809628193932824e-20,9.851002027385606e-20,9.236904272304342e-20,3.172767124232099e-20,2.790378762732183e-20,3.273758385340057e-20
362,2.7149999999999998e-08,2.2251754014032935e-19,7.755248775220192e-20,6.821121349987394e-20,7.675383888825345e-20,2.8754792496529133e-19,1.0043818935759848e-19,8.834804495454872e-20,9.876169065314421e-20,9.258378296076668e-20,3.182578317735691e-20,2.7976880339459356e-20,3.2781119443950395e-20
363,2.7225e-08,2.2310182810920587e-19,7.777074046079492e-20,6.839756693449893e-20,7.693352071391206e-20,2.883259597825046e-19,1.0071728473031278e-19,8.859226760406145e-20,9.901640744813031e-20,9.278095564478303e-20,3.192246939103552e-20,2.8047608370119225e-20,3.28108778836283e-20
364,2.73e-08,2.236748783055752e-19,7.797811108908369e-20,6.857732539090342e-20,7.711944182558796e-20,2.890807221445447e-19,1.0098247755049939e-19,8.882508184518102e-20,9.927316274886437e-20,9.299093641638388e-20,3.2014308569497293e-20,2.8121358881673065e-20,3.285526896521349e-20
365,2.7375e-08,2.242449081671076e-19,7.819973903831688e-20,6.87442996196309e-20,7.730086950915986e-20,2.8984355285616957e-19,1.0126699197366402e-19,8.904395253965182e-20,9.953260834285361e-20,9.317574114189214e-20,3.21102863960119e-20,2.8184641539198304e-20,3.2880813206681955e-20
366,2.745e-08,2.2480400728896997e-19,7.841790644865532e-20,6.891167761322269e-20,7.747442322709193e-20,2.9058416123852973e-19,1.0154324837844364e-19,8.926269484639762e-20,9.977821801368851e-20,9.337217625303296e-20,3.2212389272535266e-20,2.824939122740637e-20,3.291039575309134e-20
367,2.7525e-08,2.25378979756727e-19,7.864580900326197e-20,6.908420795182343e-20,7.764896280164167e-20,2.913281040812351e-19,1.0182754475820585e-19,8.948279784754737e-20,1.0001776147548185e-19,9.360953799115746e-20,3.2327614321020645e-20,2.8326869156265586e-20,3.295505451387123e-20
368,2.76e-08,2.259525292845151e-19,7.885798080805349e-20,6.925956616062375e-20,7.783498231583772e-20,2.9208578842238226e-19,1.0208713544679211e-19,8.971672727949806e-20,1.0028192569609217e-19,9.381517753053407e-20,3.2445040973230116e-20,2.838519931568548e-20,3.2984937241618465e-20
369,2.7675e-08,2.2652587077315413e-19,7.907213371378194e-20,6.943232314365887e-20,7.802141391571332e-20,2.928485182058937e-19,1.0235970436077682e-19,8.993817879334782e-20,1.005506350517692e-19,9.401011232844203e-20,3.254247595621216e-20,2.846066234359681e-20,3.300697402863302e-20
