,"time, s","msd_x_all, m^2","msd_y_all, m^2","msd_z_all, m^2","msd_all, m^2","msd_x_Cr, m^2","msd_y_Cr, m^2","msd_z_Cr, m^2","msd_Cr, m^2","msd_x_Ta, m^2","msd_y_Ta, m^2","msd_z_Ta, m^2","msd_Ta, m^2"
252,1.89e-08,5.532013539868612e-20,7.671621223579707e-20,6.008272215519175e-20,1.9211906978967494e-19,7.21122130910776e-20,9.165661137185058e-20,7.629258820840358e-20,2.4006141267133176e-19,2.176877704064612e-20,4.686459443075267e-20,2.769464994340328e-20,9.632802141480207e-20
253,1.8975e-08,6.008160004872127e-20,7.811210157835991e-20,7.473402866040378e-20,2.1292773028748492e-19,7.667541764502213e-20,9.289854141206741e-20,9.048906085938269e-20,2.600630199164722e-19,2.6926374656112287e-20,4.8568101676245094e-20,4.325473580970958e-20,1.1874921214206697e-19
254,1.905e-08,5.682094173246457e-20,8.132086229481605e-20,8.080778661241817e-20,2.189495906396988e-19,7.346383213630611e-20,9.589929263066903e-20,9.638467548149954e-20,2.657478002484747e-19,2.356766657010148e-20,5.2192475119859775e-20,4.968443248532787e-20,1.2544457417528912e-19
255,1.9125e-08,5.566383835867292e-20,8.109041308741774e-20,8.081512707731354e-20,2.175693785234042e-19,7.256952287717843e-20,9.529606041048646e-20,9.673493485991988e-20,2.646005181475848e-19,2.1885488236737118e-20,5.27068638462082e-20,4.900660488667625e-20,1.2359895696962156e-19
256,1.92e-08,5.763280093490236e-20,7.355900213386947e-20,8.167635255440931e-20,2.1286815562318114e-19,7.435238752002252e-20,8.802763883779474e-20,9.765842733052059e-20,2.6003845368833787e-19,2.422628320721115e-20,4.4649987782081315e-20,4.9743417991983873e-20,1.1861968898127633e-19
257,1.9275e-08,6.240248620506709e-20,8.008473999156139e-20,8.637376265159372e-20,2.288609888482222e-19,7.885865363541103e-20,9.503244139766874e-20,1.018821686704331e-19,2.7577326370351287e-19,2.952229229639157e-20,5.021853190865547e-20,5.538724046942047e-20,1.351280646744675e-19
258,1.935e-08,5.723264077874954e-20,8.328682534935413e-20,7.993142882831623e-20,2.2045089495641993e-19,7.403588257043858e-20,9.760481434205111e-20,9.609728904919257e-20,2.677379859616823e-19,2.365897602699584e-20,5.467881218621156e-20,4.763128233230743e-20,1.2596907054551483e-19
259,1.9425e-08,5.906129421916413e-20,8.139299813855742e-20,8.224376210065934e-20,2.226980544583809e-19,7.558623596361241e-20,9.597156566685592e-20,9.864032559902181e-20,2.7019812722949017e-19,2.6043686007112164e-20,5.226433684666411e-20,4.948265964201714e-20,1.2779068249579342e-19
260,1.95e-08,6.010334906742807e-20,8.521178099285601e-20,8.196630475064472e-20,2.272814348109288e-19,7.709463587621153e-20,9.935178571513916e-20,9.817125478559628e-20,2.74617676376947e-19,2.6153961556909575e-20,5.695938874501288e-20,4.958805497377858e-20,1.3270140527570104e-19
261,1.9574999999999998e-08,5.49411133865933e-20,8.32945922530305e-20,8.435641620435275e-20,2.2259212184397655e-19,7.225448196742905e-20,9.733120217838126e-20,1.0068753177598282e-19,2.702732159217931e-19,2.0348191397931252e-20,5.524878765608938e-20,5.172608177119349e-20,1.273230608252141e-19
262,1.965e-08,5.4017850036822666e-20,7.943389859209915e-20,7.929701342968657e-20,2.1274876205860841e-19,7.11520776636097e-20,9.381527601332239e-20,9.61130847767345e-20,2.610804384536666e-19,1.9782860071582148e-20,5.069923237742849e-20,4.569771462494037e-20,1.16179807073951e-19
263,1.9725e-08,5.491231663561007e-20,7.843063425325343e-20,7.700162605682688e-20,2.1034457694569038e-19,7.254234620008152e-20,9.303586247283631e-20,9.396245126189194e-20,2.595406599348098e-19,1.9686691158160237e-20,4.924870365045405e-20,4.311310225842539e-20,1.1204849706703968e-19
264,1.98e-08,5.459398106074759e-20,8.137923281865405e-20,7.949852672526754e-20,2.1547174060466915e-19,7.211399843923173e-20,9.604679497772717e-20,9.640192218459891e-20,2.645627156015578e-19,1.9588165087721613e-20,5.2072756082849774e-20,4.572475025086133e-20,1.173856714214327e-19
