,"time, s","r_all, m^2","x_all, m^2","y_all, m^2","z_all, m^2","r_2, m^2","x_2, m^2","y_2, m^2","z_2, m^2","r_5, m^2","x_5, m^2","y_5, m^2","z_5, m^2"
351,2.6325e-08,2.8512928263073624e-19,7.5977673257147e-20,1.2948436553506215e-19,7.966724383852702e-20,3.4984289120397156e-19,9.799322573112063e-20,1.5055602147560348e-19,1.012936439972476e-19,1.558284592510098e-19,3.1989567435125506e-20,8.738220923198853e-20,3.6456682583895765e-20
352,2.6399999999999998e-08,2.855805605748926e-19,7.6166506951298e-20,1.295923863883576e-19,7.982166723523703e-20,3.5044228542241845e-19,9.824190817269523e-20,1.5068414886136183e-19,1.0151622838836149e-19,1.5598379393618365e-19,3.205882052651406e-20,8.745005629092923e-20,3.647491711874033e-20
353,2.6475e-08,2.861468567100749e-19,7.63388611485194e-20,1.297882449932782e-19,8.001975056827736e-20,3.511877779202515e-19,9.848785535985605e-20,1.5091248781216335e-19,1.0178743474823217e-19,1.5619204733896022e-19,3.208413248016507e-20,8.758101764226346e-20,3.6526897216531684e-20
354,2.655e-08,2.868018263878879e-19,7.661015895423504e-20,1.299957509468862e-19,8.019591648676662e-20,3.52018688128761e-19,9.88242824032176e-20,1.5115906072073705e-19,1.0203534500480627e-19,1.5649547958922915e-19,3.222529901613119e-20,8.771046598858637e-20,3.655971458451161e-20
355,2.6625e-08,2.8739983571161257e-19,7.683853166344101e-20,1.3021259485379492e-19,8.034870919437677e-20,3.527791431425859e-19,9.911212887231354e-20,1.5141353895247082e-19,1.022534753178015e-19,1.5676891480949242e-19,3.2334840365244566e-20,8.785211475038574e-20,3.658195969386212e-20
356,2.67e-08,2.8806477955239944e-19,7.70817615067378e-20,1.3044752501496117e-19,8.05354930307003e-20,3.536127246359833e-19,9.941360084180053e-20,1.5168740701397583e-19,1.0251171678020705e-19,1.5709691271547257e-19,3.246169971031354e-20,8.800924516146137e-20,3.6625967843697677e-20
357,2.6775e-08,2.887301583478376e-19,7.730039746127417e-20,1.306231527631758e-19,8.080660812338767e-20,3.5445537260071533e-19,9.969689155861546e-20,1.5190492697739448e-19,1.0285355406470529e-19,1.5740809940116998e-19,3.2551152419125506e-20,8.810117030000048e-20,3.6755776682044004e-20
358,2.685e-08,2.893538079246177e-19,7.753681971175759e-20,1.3075148258181495e-19,8.106550563104524e-20,3.5527099026645565e-19,9.99995302305629e-20,1.5208740350745747e-19,1.031840565284354e-19,1.5764818773770295e-19,3.2655271155629014e-20,8.812131245108768e-20,3.687160413098619e-20
359,2.6925e-08,2.9018975406257203e-19,7.778525462278918e-20,1.310791770227478e-19,8.132532241703509e-20,3.5630734214035697e-19,1.0031323250893376e-19,1.5247117709099414e-19,1.0352293254042907e-19,1.5808371382121666e-19,3.277329880730881e-20,8.833695813638847e-20,3.6973456877519414e-20
360,2.7e-08,2.9080948163124417e-19,7.803335752593338e-20,1.3127507364645475e-19,8.150105045885594e-20,3.571082991815235e-19,1.006252991898918e-19,1.5271583964979523e-19,1.0376716034183646e-19,1.583413364087134e-19,3.289359908407913e-20,8.843541813587412e-20,3.7012319188760146e-20
361,2.7075e-08,2.9123646797184885e-19,7.81865825609742e-20,1.3139305153355997e-19,8.165683387731481e-20,3.5772945971181857e-19,1.008474724610476e-19,1.5288241512047076e-19,1.0399957213030022e-19,1.5838035361640162e-19,3.290906231141337e-20,8.845629577299382e-20,3.701499553199439e-20
362,2.7149999999999998e-08,2.921033212630317e-19,7.846084981720445e-20,1.3185541197145326e-19,8.178705947437411e-20,3.587764507976111e-19,1.011816857994879e-19,1.5339526857083637e-19,1.0419949642728669e-19,1.5888728314999544e-19,3.306355448541551e-20,8.88177688051074e-20,3.70059598594725e-20
363,2.7225e-08,2.925217318408256e-19,7.86567696200983e-20,1.3187475208792042e-19,8.199021013280694e-20,3.5938270875159666e-19,1.0143468779404394e-19,1.5346528648811012e-19,1.044827344694427e-19,1.5893036586481236e-19,3.314542139364057e-20,8.873585230004132e-20,3.7049092171130467e-20
364,2.73e-08,2.929876821050382e-19,7.888278552205293e-20,1.3183854264556095e-19,8.226635393742417e-20,3.6002033232799315e-19,1.0171626011869193e-19,1.5346987622705945e-19,1.0483419598224195e-19,1.5905330480409423e-19,3.326043295884655e-20,8.861812418096532e-20,3.717474766428237e-20
365,2.7375e-08,2.9340362418342326e-19,7.909020781595642e-20,1.3182858548179112e-19,8.248483088567561e-20,3.6062252688806937e-19,1.0198395293063667e-19,1.5350369644076068e-19,1.0513487751667192e-19,1.5909710569347605e-19,3.334743193252294e-20,8.852069776494384e-20,3.7228975996009246e-20
366,2.745e-08,2.9375095641119473e-19,7.930015981971285e-20,1.3170934442794468e-19,8.274145216353736e-20,3.6114830726577997e-19,1.0225709005287099e-19,1.534245889855e-19,1.0546662822740901e-19,1.590878901529122e-19,3.343113710775813e-20,8.832126789986029e-20,3.7335485145293776e-20
367,2.7525e-08,2.941674650733015e-19,7.95917944580823e-20,1.315845902621885e-19,8.29910803530306e-20,3.6172783389501113e-19,1.0260132762148595e-19,1.5333421024041982e-19,1.0579229603310535e-19,1.5917868127523666e-19,3.361766862573475e-20,8.812783003224582e-20,3.743318261725614e-20
368,2.76e-08,2.9471294990604163e-19,7.985199419564446e-20,1.3153223144313219e-19,8.332872426726509e-20,3.62446582424909e-19,1.0290783593768816e-19,1.533215880278075e-19,1.0621715845941346e-19,1.5937797711932055e-19,3.3785341652459456e-20,8.799607561086122e-20,3.759655985599994e-20
369,2.7675e-08,2.949415865541954e-19,8.000679542869515e-20,1.313732814132948e-19,8.356150971220558e-20,3.628607619527985e-19,1.031216823933485e-19,1.5319528019097795e-19,1.065437993684721e-19,1.592358903964397e-19,3.382216776299129e-20,8.777190494929096e-20,3.764181768415743e-20
370,2.775e-08,2.951697018700887e-19,8.012095103067342e-20,1.312359884067311e-19,8.381276243268409e-20,3.632562615864613e-19,1.0327998192129083e-19,1.531005073143209e-19,1.068757723508498e-19,1.5912956399928906e-19,3.384812173164689e-20,8.7549654730043e-20,3.773178753759917e-20
371,2.7825e-08,2.9542431066180494e-19,8.034805606261125e-20,1.309251217581677e-19,8.415113284102595e-20,3.6367880006352316e-19,1.0355570634237303e-19,1.528327643233117e-19,1.0729032939783844e-19,1.5904864140798126e-19,3.3978082945040344e-20,8.71526249922647e-20,3.7917933470676103e-20
372,2.79e-08,2.9564328357509067e-19,8.061246955104963e-20,1.3061587237694933e-19,8.441494164709164e-20,3.64068330264336e-19,1.0386920653217443e-19,1.5257086988670667e-19,1.0762825384545503e-19,1.589268328659147e-19,3.414441890321638e-20,8.674875821194603e-20,3.8033655750752294e-20
373,2.7975e-08,2.960224633826294e-19,8.088257716386694e-20,1.3042655792735433e-19,8.471332829140796e-20,3.646423859230513e-19,1.0419597720255809e-19,1.5243676323603421e-19,1.0800964548445894e-19,1.5891664158799698e-19,3.430131107093516e-20,8.644913599223813e-20,3.8166194524823685e-20
374,2.805e-08,2.9600538683497816e-19,8.108450581476122e-20,1.2997167295245596e-19,8.494920806776099e-20,3.647912238526624e-19,1.0444730619501927e-19,1.5202282445751795e-19,1.0832109320012506e-19,1.5856806013753503e-19,3.440453552373778e-20,8.591243859761523e-20,3.825108601618202e-20
375,2.8125e-08,2.9626670809575765e-19,8.129851509572042e-20,1.2966038851660892e-19,8.530780448342833e-20,3.6522762950996805e-19,1.0471545682106322e-19,1.5175615624886467e-19,1.0875601644004012e-19,1.584795545669741e-19,3.451036785934208e-20,8.551200884844958e-20,3.8457177859182437e-20
376,2.82e-08,2.9641691235556804e-19,8.154503854814849e-20,1.292451026852348e-19,8.562677112218478e-20,3.6556007005912024e-19,1.0502116478604238e-19,1.5138721157265787e-19,1.0915169370042002e-19,1.5826564217835336e-19,3.4638637881419035e-20,8.500413121680954e-20,3.8622873080124815e-20
377,2.8275e-08,2.96508046489921e-19,8.178057551460799e-20,1.2885424223112395e-19,8.587322874418924e-20,3.6584228502551056e-19,1.0531922741756827e-19,1.5104492838654635e-19,1.0947812922139579e-19,1.579749878533824e-19,3.4749245638185384e-20,8.451621110417646e-20,3.870953111102055e-20
378,2.835e-08,2.9664344078375837e-19,8.203212771879876e-20,1.284839635109296e-19,8.612734955403006e-20,3.661614157996008e-19,1.056250394699616e-19,1.5072299488801037e-19,1.098133814416288e-19,1.5774326804702649e-19,3.4892384122237135e-20,8.404933636492631e-20,3.8801547559863015e-20
379,2.8425e-08,2.9658546471569084e-19,8.228897995863242e-20,1.2801289957052705e-19,8.628358518653126e-20,3.6627546888465266e-19,1.0593958590293774e-19,1.5028534158704736e-19,1.1005054139466749e-19,1.5734156966715972e-19,3.503396065975681e-20,8.351151640080007e-20,3.879609260660283e-20
380,2.85e-08,2.965427485169356e-19,8.255226398496069e-20,1.275892804897366e-19,8.640120404223842e-20,3.664019993759703e-19,1.0625397778163302e-19,1.4990437411123728e-19,1.1024364748309996e-19,1.5696069064820055e-19,3.51951288013751e-20,8.300267741396472e-20,3.8762884432860706e-20
381,2.8575e-08,2.96617706739832e-19,8.277840307939671e-20,1.2722098998334107e-19,8.661831367709427e-20,3.6664517617685767e-19,1.0652368870189875e-19,1.4957048353610858e-19,1.1055100393885037e-19,1.5669954026702512e-19,3.533420934537411e-20,8.256565423240138e-20,3.879967668924959e-20
382,2.865e-08,2.965904209909233e-19,8.299063215435009e-20,1.2683408524094752e-19,8.676570359562573e-20,3.6677369446378364e-19,1.0677239519915929e-19,1.492250617630749e-19,1.1077623750154934e-19,1.5636095075120454e-19,3.5473554820678555e-20,8.209586457271249e-20,3.8791531357813474e-20
383,2.8725e-08,2.9656890564783883e-19,8.317116756858949e-20,1.2646459911755649e-19,8.693313896169288e-20,3.6691297155868256e-19,1.0700174555242363e-19,1.4889373105994143e-19,1.1101749494631753e-19,1.560181645798836e-19,3.555655569854592e-20,8.165014213111156e-20,3.881146675022614e-20
384,2.88e-08,2.967093131886178e-19,8.340190468137728e-20,1.2626354911632007e-19,8.704385939092047e-20,3.6719117940128333e-19,1.0727117761237086e-19,1.4871886328261057e-19,1.11201138506302e-19,1.558832406582333e-19,3.57099784930835e-20,8.139677881922013e-20,3.8776483345929676e-20
385,2.8875e-08,2.9776526302694983e-19,8.368444260980164e-20,1.2688143766519292e-19,8.719938275195522e-20,3.684027345630686e-19,1.0759478077562342e-19,1.4937403051351367e-19,1.1143392327393161e-19,1.5662828376630606e-19,3.591046615738821e-20,8.19401828139584e-20,3.877763479495947e-20
386,2.895e-08,2.985779382923917e-19,8.384284433930853e-20,1.2728101854377992e-19,8.745407540930342e-20,3.6938275200234693e-19,1.0780313772030965e-19,1.498122862129598e-19,1.1176732806907734e-19,1.5710660152425915e-19,3.596905502531603e-20,8.226248958758641e-20,3.887505691135669e-20
387,2.9025e-08,2.993022476506901e-19,8.408583041383505e-20,1.2758272391095139e-19,8.763369332590371e-20,3.7028803384233385e-19,1.0809835154150464e-19,1.5016744888590886e-19,1.1202223341492037e-19,1.574693193810582e-19,3.6107687613823324e-20,8.245738475200318e-20,3.890424701523172e-20
388,2.91e-08,3.004214740916239e-19,8.431278511566237e-20,1.2827215154714135e-19,8.783653742882017e-20,3.7158639643783284e-19,1.0838394019589522e-19,1.5090588442167435e-19,1.1229657182026341e-19,1.5823062338816338e-19,3.6217488929962856e-20,8.304889230759601e-20,3.896424215060446e-20
389,2.9174999999999998e-08,3.014408641090641e-19,8.45547851108278e-20,1.2887829657801262e-19,8.800778242022359e-20,3.728148324801229e-19,1.0869919855261874e-19,1.5156841200555528e-19,1.125472219219489e-19,1.5883232964892097e-19,3.6313115284749527e-20,8.354238235462173e-20,3.897683200954973e-20
